Table 1: Group 1 Anti-Neoplastic Drugs,,,,,
4083,estradiol,oral and injectablet,68:16:04 estrogens,"Black Box warning for malignant neoplasms; increased risk	
of endometrial cancer, breast	
cancer, and ovarian cancer; in	
laboratory studies, increased	
frequency of carcinomas of	
the breast, uterus, cervix, va-	
gina, testis, and liver; present	
in breast milk; FDA Pregnancy	
Category X	",
692987,estrogen/ progesterone combinations,,68:12 contraceptives,"IARC Group 1 carcinogen; NTP**; FDA Pregnancy Cat-	
egory X	",
4099,"estrogens, conjugated",oral tablet,68:16:04 estrogens,"Black Box warning for endometrial cancer and cardiovascular risks; long-term use in	
women and laboratory studies	
increases frequency of several	
cancers; NTP**; FDA Pregnan-	
cy Category X	",
214549,"estrogens, esterified",oral tablet,68:16:04 estrogens,"Black Box warning for endometrial cancer and cardio-	
vascular risks; NTP**; FDA	
Pregnancy Category X	",
33747,estropipate,oral tablet,68:16:04 estrogens,"Black Box warning for endometrial carcinoma in post-	
menopausal women and	
use during pregnancy; FDA	
Pregnancy Category X	",
1012892,fingolimod,oral tablet,92:20 biologic response modifiers,"FDA Pregnancy Category C; in laboratory studies, increased malformations and embryo-	
fetal deaths at less than	
the recommended human	
dose; malignant lymphomas	
observed in male and female	
mice	",
4494,fluoxymesterone,oral tablet,68:08 androgens,"Tumors in mice and rats and
possibly humans; FDA Preg-
nancy Category X",
72236,fosphenytoin,injectable,28:12.12 hydantoins,"Metabolized to phenytoin;
FDA Pregnancy Category D",
4678,ganciclovir,oral tablet & injectable,8:18:32 nucleosides and nucleotides,FDA Pregnancy Category C,
27169,leflunomide,oral tablet,"92:36 disease-modi-fying antirheumatic
agents","Teratogenic in laboratory
studies at 1/10 human dose
(HD); marked postnatal survival at 1/100 HD; FDA Pregnancy	
Category X; severe liver injury	
reported in patients; carcino-	
genicity observed at doses	
below HD	",
342369,lenalidomide,oral tablet,92:20 biologic response modulators,"Analog of thalidomide; FDA
Black Box warnings for limb abnormalities; Pregnancy Cat-	
egory X; in laboratory studies,	
caused thalidomide-type limb	
defects in monkey offspring",
475968,liraglutide recombinant,injectable,68:20.06 incretin mimetics,"FDA Pregnancy Category C; Black Box warning for thyroid C-cell tumors, with supporting evidence in laboratory stud-	
ies; also in laboratory studies,	
teratogenic at or below the	
MRHD	      ",
1000112,medroxyprogesterone acetate,oral tablet,68:32 progestins,IARC Group 2B; FDA Pregnancy Category X,
6835,methimazole,oral tablet,68:36:08 antithyroid agents,"Appears in human breast milk;
FDA Pregnancy Category D",
1367839,mipomersen,injectable,"24:06:92 antilipemic agents, miscellaneous","Black Box warning on hepa-
totoxicity; FDA Pregnancy Category B",
68149,mycophenolate mofetil,oral tablet & injectable,92:44 immunosuppressive agents,"Black Box warning for em-
bryo fetal toxicity, malignancies, and serious infections;	
increased risk of first-trimester	
pregnancy loss and increased	
risk of congenital malforma-	
tions; FDA Pregnancy Cat-	
egory D; Special warning:	
Tablets should not be crushed	
and capsules should not be	
opened or crushed. Avoid in-	
halation or direct contact with	
skin or mucous membranes	
of the powder contained in	
capsules and oral suspension	
(before or after constitution).	
If such contact occurs, wash	
thoroughly with soap and	
water; rinse eyes with plain	
water.	",
7145,mycophenolic acid,oral tablet,92:44 immunosuppressive agents,"Black Box warning for first trimester pregnancy loss and an increased risk of congenital	
malformations; FDA Preg-	
nancy Category D; Black Box	
warning for lymphomas and	
other malignancies; genotoxic	
in vitro and in vivo	",
53654,nevirapine,oral tablet,"8:18.08.16 nonnucleoside reverse transcrip-
tase inhibitors","FDA Pregnancy Category B; in laboratory studies, hepatocel-	
lular adenomas and carci-	
nomas at doses lower than	
human dose	",
1370971,ospemifene,oral tablet,68:16:12 estrogen agonists-antagonists,"Black Box warning on increased risk of endometrial cancer in certain populations;	
risk of adverse outcomes dur-	
ing pregnancy and labor; FDA	
Pregnancy Category X	",
32624,oxcarbazepine,oral tablet,"28:12:92 anticonvulsants, miscellaneous",Tumors observed in laboratory studies at 1/10 MRHD; FDA Pregnancy Category C,
196319,palifermin,injectable,84:16 cell stimulants and proliferants,"FDA Pregnancy Category C;
potential for stimulation of
tumor growth",
679314,paliperidone,oral tablet & injectable,28:16:08:04 atypical antipsychotics,"Metabolite of risperidone; ex-
creted in human breast milk;
FDA Pregnancy Category C",
8149,phenoxybenzamine,oral tablet,"12:16:04:04 non-selective alpha-andrenergic
blocking agents","IARC Group 2B; FDA
Pregnancy Category C",
8183,phenytoin,oral tablet & injectable,28:12.12 hydantoins,IARC Group 2B; NTP***; FDA Pregnancy Category D,
8727,progesterone,oral tablet,68:32 progestins,IARC Group 2B; NTP***,
????,progestins,,68:12 contraceptives,FDA Pregnancy Category X,
8794,propylthiouracil,oral tablet,68:36.08 antithyroid agents,"IARC Group 2B; NTP***; FDA
Pregnancy Category D",
72143,raloxifene,oral tablet,68:16:12 estrogen,"Abortion and developmental abnormalities seen at low doses in laboratory studies;	
evidence of tumors at low	
doses in laboratory studies;	
FDA Pregnancy Category X	",
134748,rasagiline,oral tablet,28:36 antiparkinsonian agents,FDA Pregnancy Category C,
35636,risperidone,oral tablet & injectable,28:16:08:04 atypical anti-psychotics,"Evidence of tumors at low doses in laboratory studies;	
may be prolactin-mediated;	
FDA Pregnancy Category C	",
35302,sirolimus,oral tablet,92:44 immunosuppressive agents,"AKA rapamycin; increased risk of lymphomas and other ma-	
lignancies; embryotoxic and	
fetotoxic at 0.2 human dose;	
FDA Pregnancy Category C	",
9997,spironolactone,oral tablet,"24:32.20 mineralocorticoid receptor
antagonists","FDA Pregnancy Category C; Black Box warning for tumoro-	
genicity in laboratory studies	",
42316,tacrolimus,oral tablet,92:44 immunosuppressive agents,"Increased risk of lymphomas
and other malignancies; reproductive effects seen in	
laboratory studies below the	
MRHD; excreted in breast milk;	
FDA Pregnancy Category C	",
1310520,teriflunomide,oral tablet,92:20 immunomodulatory agents,"Black Box warning on severe
hepatotoxicity and terato-
genicity, including major
birth defects; FDA Pregnancy Category X",
10432,thalidomide,oral tablet,92:20 biologic response modulators,FDA Pregnancy Category X,
1357536,tofacitinib,oral tablet,"92:36 disease modifying antirheumatic
drugs","Black Box warning for lympho-
ma and other malignancies;
FDA Pregnancy Category C",
10996,uracil mustard,???,NA,FDA Pregnancy Category D,
275891,valganciclovir,oral tablet,8:18:32 nucleosides and nucleotides,FDA Pregnancy Category C,
11413,zidovudine,oral tablet,8:18:08 antiretroviral agents,"IARC Group 2B; FDA
Pregnancy Category C",
,,,,,
Table 3. Group 3: Non-antineoplastic drugs that primarily have adverse reproductive effects,,,,,
RxNorm,Drug,,AHFS Classification,Supplemental Information,
16818,acitretin,oral pill,88:04 vitamin A,"Black Box warning on adverse reproductive effects; FDA Preg-	
nancy Category X	",
81864,alitretinoin,topical gel,"84:92 skin and mucous membrane agents,
miscellaneous",FDA Pregnancy Category D,
358274,ambrisentan,oral tablet,"24:12:92 vasodilating agents, miscellaneous","Black Box warning on adverse reproductive effects; reduced	
sperm counts in patients; FDA	
Pregnancy Category X	",
75207,bosentan,oral tablet,"24:12:92 vasodilating agents, miscellaneous",Black Box warning on adverse reproductive effects; Pregnancy Category X,
47579,cabergoline,oral tablet,"28:36:20:04 ergot-derivative dopamine
receptor agonists","Inhibition of conception and embryo fetal effects at doses be-	
low recommended human dose;	
FDA Pregnancy Category B	",
68147,cetrorelix,injectable,"92:40 gonadotropin-releasing hormone
antagonists",FDA Pregnancy Category X,
4986,choriogonadotropin,injectable,68:18 gonadotropins,"FDA Pregnancy Category X; may cause fetal harm when adminis-	
tered to a pregnant woman	",
2596,clomiphene*,oral tablet,68:16:12 estrogen agonist-antagonists,FDA Pregnancy Category X,
2598,clonazepam,oral tablet,28:12:08 benzodiazepines,"Increased risk of congenital abnormalities when taken in first trimester; FDA Pregnancy	
Category D	",
2683,colchicine,oral tablet,92:16 anti-gout agents,"FDA Pregnancy Category C; published animal reproduc-	
tion and development studies	
indicate it causes embryofetal	
toxicity, teratogenicity, and al-	
tered postnatal development at	
exposures within or above the	
clinical therapeutic range	",
3478,dinoprostone,oral tablet & injectable,76:00 oxytocics,"Hazardous only for women in late pregnancy; FDA Pregnancy
Category C",
233698,dronedarone,oral tablet,24:04:04 antiarrythmics,"Teratogenic in laboratory studies at ½ MRHD; FDA Pregnancy
Category X",
228790,dutasteride,oral tablet,92:08 5-alpha reductase inhibitors,Women warned not to handle; FDA Pregnancy Category X,
1482502,eslicarbazepine,oral tablet,"28:12:92 anticonvulsants, miscellaneous","Fetal malformations, fetal growth retardation, embryo-lethality, and reduced body	
weights observed in animal	
studies; excreted in human	
breast milk; FDA Pregnancy	
Category C	",
???,ergonovine/methylergonovine,,76:00 oxytocics,"Use is contraindicated during pregnancy because of its utero-
tonic effects; FDA Pregnancy
Category C",
25025,finasteride,oral tablet,92:08 5-alpha reductase inhibitors,"Women should not handle crushed or broken finasteride tablets when they are pregnant	
or may potentially be pregnant,	
due to potential risk to a male	
fetus; FDA Pregnancy Category X	",
4450,fluconazole,oral tablet,8:14.08 azoles,"FDA Pregnancy Category C; case reports describe congeni-	
tal anomalies in infants exposed	
in utero to maternal fluconazole	
(400-800 mg/ day) during	
most or all of the first trimester,	
similar to those seen in animal	
studies	",
35825,ganirelix,injectable,"92:40 gonadotropin-releasing hormone
antagonists",FDA Pregnancy Category X,
4986,"gonadotropin, chorionic",injectable,68:18 gonadotropins,"Defects of forelimbs and central nervous system and alterations	
in sex ratio have been reported	
in laboratory studies; FDA Preg-	
nancy Category C	",
1148138,icatibant,injectable,92:32 complement inhibitors,"FDA Pregnancy Category C; in laboratory studies, premature birth and abortion rates	
increased at a dose that was	
less than 1/40th the MRHD,	
and delayed parturition and	
fetal death occurred at 0.5 and	
2-fold, respectively, the MRHD	",
1364479,lomitapide,oral tablet,"24:06:92 antilipemic agents, miscellaneous",FDA Pregnancy Category X,
1442132,macitentan,oral tablet,48:48 vasodilating agents,"Black Box warning for embryo-fetal toxicity; special warnings on contraception for females	
while taking and 1 month	
post-treatment; FDA Pregnancy	
Category X	",
????,mentropins,,68:18 gonadotropins,FDA Pregnancy Category X,
6904,methyltestosterone,oral tablet,68:08 androgens,FDA Pregnancy Category X,
6964,mifepristone,oral tablet,76:00 oxytocics,"When given to pregnant women, results in termination
of pregnancy; FDA Pregnancy Category X",
42331,misoprostol,oral tablet,56:28.28 prostaglandins,FDA Pregnancy Category X,
28656,nafarelin,inhalant,68:18 gonadotropins,"Note: Given only as nasal spray; no potential for occupational
exposure; FDA Pregnancy Category X",
7824,oxytocin,injectable,76:00 oxytocics,Hazardous only for women in 3rd trimester; FDA Pregnancy Category C,
11473,pamidronate,injectable,92:24 bone resorption inhibitors,"Embryo-fetal toxicities at doses below the recommended hu-
man dose; FDA Pregnancy
Category D",
32937,paroxetine,oral tablet,"28:16:04:20 selective serotonin uptake inhibi-
tors","Increased risk of congenital abnormalities when taken in
first trimester; complications
in pregnancy when taken in
third trimester; FDA Pregnancy
Category D",
1364105,pasireotide,injectable,68:29:04 somostatin agonists,"Increased implantation loss and decreased viable fetuses, corpora lutea, and implantation	
sites at doses less than the hu-	
man recommended dose; FDA	
Pregnancy Category C	",
132879,pentetate calcium trisodium,injectable,NA,"Severe teratogenic effects in laboratory studies in dogs; sup-
plied in ampule, which can lead
to occupational exposure; FDA
Pregnancy Category C",
1248798,peginesatide,injectable,20:16 hematopoietic agents,"Adverse embryo-fetal effects, including reduced fetal weight, increased resorption, embryo-	
fetal lethality, and cleft palate,	
observed in doses below the	
recommended human dose;	
FDA Pregnancy Category C	",
733003,plerixafor,injectable,20:16 hematopoietic agents,Teratogenic in laboratory studies; FDA Pregnancy Category D,
9344,ribavirin,oral tablet,8:18:32 nucleosides and nucleotides,"Teratogenic and embryo-toxic effects in several laboratory studies; contraindicated in	
women who are pregnant and	
in the male partners of women	
who are pregnant; FDA Preg-	
nancy Category X	",
1439816,riociguat,oral tablet,48:48 vasodilating agents,"Exclude pregnancy before the start of treatment, monthly
during treatment, and 1 month
after stopping treatment; FDA
Pregnancy Category X",
473837,telavancin,injectable,8:12:28 glycopeptides,"Black Box warning for potential risk to fetus and adverse repro-	
ductive outcomes; reduced fetal	
weights and increased rates of	
digit and limb malformations in	
three species at clinical doses;	
FDA Pregnancy Category C	",
10355,temazepam,oral tablet,28:24:08 benzodiazepines,"Increased risk of congenital malformations associated
with treatment during the first
trimester of pregnancy; FDA
Pregnancy Category X",
10379,testosterone,oral tablet & injectable & topical gel,68:08 androgens,"Children should avoid contact with unwashed or unclothed
application sites on skin; FDA
Pregnancy Category X",
38404,topiramate,oral tablet,"28:12.92 anticonvulsants, miscellaneous",FDA Pregnancy Category D,
10753,tretinoin,oral tablet & topical gel,84:16 cell stimulants and proliferants,"Black Box warning for severe birth defects; Special FDA distri-
bution system; FDA Pregnancy
Category X",
1005921,ulipristal,oral tablet,68:12 contraceptives,FDA Pregnancy Category X,
11118,valproate/valproic acid,oral tablet & injectable,"28:12:92 anticonvulsants, miscellaneous","Black Box warning for teratogenicity; congenital malformations, including neural tube	
defects; teratogenic in multiple	
species; FDA Pregnancy Cat-	
egory D	",
14851,vigabatrin,oral tablet,"28:12:92 anticonvulsants, miscellaneous","Malformations seen in laboratory studies below the MRHD;
FDA Pregnancy Category C",
121243,voriconazole,oral tablet & injectable,8:14.08 azoles,FDA Pregnancy Category D,
11289,warfarin,oral tablet,20:12.04.08 coumarin derivatives,FDA Pregnancy Category D,
115698,ziprasidone,oral tablet,28:16:08:04 atypical antipsychotics,"Developmental toxicity, including possible teratogenic effects at doses similar to human thera-	
peutic doses; an increase in the	
number of pups born dead and	
a decrease in postnatal survival	
at less than MRHD; FDA Preg-	
nancy Category C*	",
77655,zoledronic acid,injectable,92:24 bone resorption inhibitors,"Number of stillbirths increased and survival of neonates de-
creased in laboratory studies
at low doses; FDA Pregnancy Category D",
39998,zonisamide,oral tablet,"28:12:92 anticonvulsants, miscellaneous",Teratogenic in multiple miscellaneous animal species; FDA,